,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
22,0.0,0.0,0.0,0.120783,0.0,0.0,0.0,0.247252,0.0,0.0,0.0,0.0,0.0,0.0,-0.190592,0.00785357,0.0505976,-0.00785357,-0.0505976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.315009,-0.225747,0.315009,0.225747
23,0.045203,0.290064,0.0,0.0,-0.338685,0.255417,0.0,0.0,-0.164836,0.147315,0.147315,0.42008,0.0,0.0,0.0,0.0161973,0.104353,0.0161973,0.104353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,0.0,0.0,0.0,-0.195797,-0.140315,-0.195797,-0.140315
24,0.0658443,0.365759,0.0,0.0,-0.255417,0.586508,0.0,0.0,-0.605877,0.260952,0.260952,0.357951,0.0,0.0,0.0,0.0762701,0.267089,0.0762701,0.267089,0.184261,0.812273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.629936,0.629936,0.629936,0.0,0.0,0.0,0.378017,0.705635,0.378017,0.705635
25,0.0,0.0,0.247252,0.0,0.0,0.0,0.586508,0.0,0.0,0.0,0.0,0.0,0.0,-0.162637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.247252,0.0,0.0,0.0,0.586508,0.0,0.0,0.0,0.0,0.0,0.0,-0.162637,0.0878615,0.187175,-0.0878615,-0.187175,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.437557,-0.494508,0.437557,0.494508
27,0.131161,0.566132,0.0,0.0,-0.164836,0.605877,0.0,0.0,-0.0393768,0.445241,0.445241,0.422946,0.0,0.0,0.0,0.181206,0.386032,0.181206,0.386032,0.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.271967,-0.307366,-0.271967,-0.307366
28,0.00124098,0.0970775,0.0,0.0,-0.147315,0.260952,0.0,0.0,-0.445241,0.0796555,0.0265518,0.160906,0.0,0.0,0.0,0.00174701,0.0724399,0.00174701,0.0724399,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.118428,0.352187,0.118428,0.352187
29,0.00124098,0.0970775,0.0,0.0,-0.147315,0.260952,0.0,0.0,-0.445241,0.0265518,0.0796555,0.160906,0.0,0.0,0.0,0.00480057,0.0843836,0.00480057,0.0843836,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,0.333333,1.0,0.333333,0.0,0.0,0.0,0.363335,0.410255,0.363335,0.410255
30,0.0566921,0.343339,0.0,0.0,-0.42008,0.357951,0.0,0.0,-0.422946,0.160906,0.160906,0.490793,0.0,0.0,0.0,0.0147354,0.123243,0.0147354,0.123243,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,0.333333,0.333333,1.0,0.0,0.0,0.0,0.213044,0.37462,0.213044,0.37462
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.190592,0.0,0.0,0.0,0.162637,0.0,0.0,0.0,0.0,0.0,0.0,-0.323408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.190592,0.0,0.0,0.0,0.162637,0.0,0.0,0.0,0.0,0.0,0.0,-0.323408,0.0109079,0.0426654,-0.0109079,-0.0426654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.263661,0.0625143,-0.263661,-0.0625143
34,4.84474e-05,0.00841446,0.0,-0.00785357,-0.0161973,0.0762701,0.0,-0.0878615,-0.181206,0.00174701,0.00480057,0.0147354,0.0,0.0,0.0109079,1.19248e-05,0.00759526,0.000591985,0.0371601,0.0330932,0.275229,0.0,-0.315009,-0.195797,0.378017,0.0,-0.437557,-0.271967,0.118428,0.363335,0.213044,0.0,0.0,0.263661,1.0,0.658292,0.0138547,0.13306
35,0.0147655,0.11282,0.0,-0.0505976,-0.104353,0.267089,0.0,-0.187175,-0.386032,0.0724399,0.0843836,0.123243,0.0,0.0,0.0426654,0.00759526,0.0637641,0.0371601,0.170362,0.0924755,0.477246,0.0,-0.225747,-0.140315,0.705635,0.0,-0.494508,-0.307366,0.352187,0.410255,0.37462,0.0,0.0,0.0625143,0.658292,1.0,0.13306,0.374285
36,4.84474e-05,0.00841446,0.0,0.00785357,-0.0161973,0.0762701,0.0,0.0878615,-0.181206,0.00174701,0.00480057,0.0147354,0.0,0.0,-0.0109079,0.000591985,0.0371601,1.19248e-05,0.00759526,0.0330932,0.275229,0.0,0.315009,-0.195797,0.378017,0.0,0.437557,-0.271967,0.118428,0.363335,0.213044,0.0,0.0,-0.263661,0.0138547,0.13306,1.0,0.658292
37,0.0147655,0.11282,0.0,0.0505976,-0.104353,0.267089,0.0,0.187175,-0.386032,0.0724399,0.0843836,0.123243,0.0,0.0,-0.0426654,0.0371601,0.170362,0.00759526,0.0637641,0.0924755,0.477246,0.0,0.225747,-0.140315,0.705635,0.0,0.494508,-0.307366,0.352187,0.410255,0.37462,0.0,0.0,-0.0625143,0.13306,0.374285,0.658292,1.0
