,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
22,0.0,0.0,0.0,9.8413e-06,0.0,0.0,0.0,0.00294205,0.0,0.0,0.0,0.0,0.0,0.0,-7.22507e-06,0.0,0.000469386,0.0,-0.000469386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.349793,-0.247407,0.349793,0.247407
23,0.0,7.06443e-05,0.0,0.0,-0.000205634,0.00766203,0.0,0.0,-0.0278282,6.1314e-06,6.1314e-06,0.000106423,0.0,0.0,0.0,0.0,0.00175311,0.0,0.00175311,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,0.0,0.0,0.0,-0.13788,-0.0975218,-0.13788,-0.0975218
24,0.000267635,0.0049025,0.0,0.0,-0.00766203,0.0336673,0.0,0.0,-0.0876803,0.00232662,0.00232662,0.00782329,0.0,0.0,0.0,0.000463703,0.011789,0.000463703,0.011789,0.184261,0.812273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.629936,0.629936,0.629936,0.0,0.0,0.0,0.381223,0.709252,0.381223,0.709252
25,0.0,0.0,0.00294205,0.0,0.0,0.0,0.0336673,0.0,0.0,0.0,0.0,0.0,0.0,-0.00365567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.00294205,0.0,0.0,0.0,0.0336673,0.0,0.0,0.0,0.0,0.0,0.0,-0.00365567,0.000575575,0.00898325,-0.000575575,-0.00898325,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.479817,-0.54045,0.479817,0.54045
27,0.00134162,0.0193614,0.0,0.0,-0.0278282,0.0876803,0.0,0.0,-0.19468,0.0100079,0.0100079,0.0294305,0.0,0.0,0.0,0.00214971,0.0335515,0.00214971,0.0335515,0.0,0.0,0.0,0.0,0.569754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.189132,-0.213032,-0.189132,-0.213032
28,0.0,1.69185e-06,0.0,0.0,-6.1314e-06,0.00232662,0.0,0.0,-0.0100079,0.0,0.0,1.14791e-06,0.0,0.0,0.0,0.0,0.000450884,0.0,0.000450884,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.121124,0.35513,0.121124,0.35513
29,0.0,1.69185e-06,0.0,0.0,-6.1314e-06,0.00232662,0.0,0.0,-0.0100079,0.0,0.0,1.14791e-06,0.0,0.0,0.0,0.0,0.000538776,0.0,0.000538776,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,0.333333,1.0,0.333333,0.0,0.0,0.0,0.418064,0.424357,0.418064,0.424357
30,0.0,3.16651e-05,0.0,0.0,-0.000106423,0.00782329,0.0,0.0,-0.0294305,1.14791e-06,1.14791e-06,3.36816e-05,0.0,0.0,0.0,0.0,0.00167693,0.0,0.00167693,0.0791027,0.710235,0.0,0.0,0.0,0.629936,0.0,0.0,0.0,0.333333,0.333333,1.0,0.0,0.0,0.0,0.167261,0.365886,0.167261,0.365886
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,7.22507e-06,0.0,0.0,0.0,0.00365567,0.0,0.0,0.0,0.0,0.0,0.0,-3.23604e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,7.22507e-06,0.0,0.0,0.0,0.00365567,0.0,0.0,0.0,0.0,0.0,0.0,-3.23604e-06,0.0,0.000568577,0.0,-0.000568577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.202731,0.0472633,-0.202731,-0.0472633
34,0.0,0.0,0.0,0.0,0.0,0.000463703,0.0,-0.000575575,-0.00214971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4164e-05,0.0,0.000220423,0.0342738,0.280321,0.0,-0.349793,-0.13788,0.381223,0.0,-0.479817,-0.189132,0.121124,0.418064,0.167261,0.0,0.0,0.202731,1.0,0.658292,0.00672304,0.0994978
35,4.10252e-05,0.00105894,0.0,-0.000469386,-0.00175311,0.011789,0.0,-0.00898325,-0.0335515,0.000450884,0.000538776,0.00167693,0.0,0.0,0.000568577,3.4164e-05,0.00221137,0.000220423,0.00706737,0.093373,0.480871,0.0,-0.247407,-0.0975218,0.709252,0.0,-0.54045,-0.213032,0.35513,0.424357,0.365886,0.0,0.0,0.0472633,0.658292,1.0,0.0994978,0.312898
36,0.0,0.0,0.0,0.0,0.0,0.000463703,0.0,0.000575575,-0.00214971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000220423,0.0,3.4164e-05,0.0342738,0.280321,0.0,0.349793,-0.13788,0.381223,0.0,0.479817,-0.189132,0.121124,0.418064,0.167261,0.0,0.0,-0.202731,0.00672304,0.0994978,1.0,0.658292
37,4.10252e-05,0.00105894,0.0,0.000469386,-0.00175311,0.011789,0.0,0.00898325,-0.0335515,0.000450884,0.000538776,0.00167693,0.0,0.0,-0.000568577,0.000220423,0.00706737,3.4164e-05,0.00221137,0.093373,0.480871,0.0,0.247407,-0.0975218,0.709252,0.0,0.54045,-0.213032,0.35513,0.424357,0.365886,0.0,0.0,-0.0472633,0.0994978,0.312898,0.658292,1.0
