,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
16,0.00165,0.00162,0.05057,0.05029,0.15915,0.16127,0.06351,0.09005,0.0,0.0,-0.92081,-0.9205,1.24308,1.24645,-0.04369,-0.03398,0.0,-0.62745,0.03456,0.0,-0.77002,-0.48405,-0.99114,0.96846,0.89885,-0.87993,0.0,0.0,0.0,0.0,-0.00219,-0.00734,-0.11926,-0.20945,0.02209,0.02673,-0.30509,-0.31897,0.00165,0.00162,0.05057,0.05029,0.15915,0.16127,0.06351,0.09005,0.0,0.0,-0.92081,-0.9205,1.24308,1.24645,-0.04369,-0.03398,0.0,-0.62745,0.03456,0.0,-0.77002,-0.48405,-0.99114,0.96846,0.89885,-0.87993,0.0,0.0,0.0,0.0,-0.00219,-0.00734,-0.11926,-0.20945,0.02209,0.02673,-0.30509,-0.31897
17,-0.00049,-0.00048,0.12906,0.13038,-0.18123,-0.18261,0.05766,0.05237,0.0,0.0,-0.0852,-0.09099,-0.00823,0.00266,-0.09471,-0.37184,0.0,0.25735,-0.42456,0.0,0.2912,0.34592,0.39211,0.55367,0.57217,0.29102,0.0,0.0,0.0,0.0,0.00527,0.00396,0.40407,0.42288,-0.44752,-0.44839,0.1595,0.16053,-0.00049,-0.00048,0.12906,0.13038,-0.18123,-0.18261,0.05766,0.05237,0.0,0.0,-0.0852,-0.09099,-0.00823,0.00266,-0.09471,-0.37184,0.0,0.25735,-0.42456,0.0,0.2912,0.34592,0.39211,0.55367,0.57217,0.29102,0.0,0.0,0.0,0.0,0.00527,0.00396,0.40407,0.42288,-0.44752,-0.44839,0.1595,0.16053
18,0.00165,0.00162,0.05057,0.05029,-0.15915,-0.16127,0.06351,0.09005,0.0,0.0,-0.92081,-0.9205,-1.24308,-1.24645,-0.04369,-0.03398,0.0,0.62745,0.03456,0.0,0.77002,-0.48405,-0.99114,-0.96846,-0.89885,-0.87993,0.0,0.0,0.0,0.0,-0.00219,-0.00734,0.11926,0.20945,0.02209,0.02673,-0.30509,-0.31897,0.00165,0.00162,0.05057,0.05029,-0.15915,-0.16127,0.06351,0.09005,0.0,0.0,-0.92081,-0.9205,-1.24308,-1.24645,-0.04369,-0.03398,0.0,0.62745,0.03456,0.0,0.77002,-0.48405,-0.99114,-0.96846,-0.89885,-0.87993,0.0,0.0,0.0,0.0,-0.00219,-0.00734,0.11926,0.20945,0.02209,0.02673,-0.30509,-0.31897
19,-0.70203,0.70201,-0.14036,0.1403,0.0,0.0,0.05058,-0.06292,0.0,0.0,-0.09466,0.09018,0.0,0.0,-0.02444,0.0268,0.0,0.0,-0.02271,0.0,0.0,-0.01318,0.02191,0.0,0.0,-0.01832,0.0,0.0,0.0,0.0,-0.00455,0.00096,0.0,0.0,-0.03814,0.03816,-0.31757,0.32346,-0.70203,0.70201,-0.14036,0.1403,0.0,0.0,0.05058,-0.06292,0.0,0.0,-0.09466,0.09018,0.0,0.0,-0.02444,0.0268,0.0,0.0,-0.02271,0.0,0.0,-0.01318,0.02191,0.0,0.0,-0.01832,0.0,0.0,0.0,0.0,-0.00455,0.00096,0.0,0.0,-0.03814,0.03816,-0.31757,0.32346
20,-0.03367,0.03364,0.28245,-0.284,0.0,0.0,-0.09761,0.13975,0.0,0.0,0.1542,-0.13659,0.0,0.0,0.07885,0.43323,0.0,0.0,-0.61878,0.0,0.0,-0.11545,-1.0477,0.0,0.0,1.20453,0.0,0.0,0.0,0.0,0.04464,0.04302,0.0,0.0,-0.00477,-0.00387,2.22812,-2.18846,-0.03367,0.03364,0.28245,-0.284,0.0,0.0,-0.09761,0.13975,0.0,0.0,0.1542,-0.13659,0.0,0.0,0.07885,0.43323,0.0,0.0,-0.61878,0.0,0.0,-0.11545,-1.0477,0.0,0.0,1.20453,0.0,0.0,0.0,0.0,0.04464,0.04302,0.0,0.0,-0.00477,-0.00387,2.22812,-2.18846
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38568,-0.39821,0.0,0.0,0.0,0.0,0.0,0.0,0.76358,0.0,0.0,0.76833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.01202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38568,-0.39821,0.0,0.0,0.0,0.0,0.0,0.0,0.76358,0.0,0.0,0.76833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.01202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.32255,-0.32412,0.0,0.0,0.0,0.0,0.0,0.0,-0.32031,0.33779,0.0,0.0,0.0,-0.5268,0.0,0.0,0.51449,0.0,0.0,-0.65161,0.61369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06955,-0.02921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32255,-0.32412,0.0,0.0,0.0,0.0,0.0,0.0,-0.32031,0.33779,0.0,0.0,0.0,-0.5268,0.0,0.0,0.51449,0.0,0.0,-0.65161,0.61369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06955,-0.02921,0.0,0.0,0.0,0.0
23,0.00141,-0.00153,-0.08552,0.08877,0.0,0.0,-0.37029,0.40288,0.0,0.0,-0.13685,0.17617,0.0,0.0,0.70888,-0.38551,0.0,0.0,-0.11052,0.0,0.0,-0.67555,0.22352,0.0,0.0,0.06533,0.0,0.0,0.0,0.0,0.04585,0.01745,0.0,0.0,-0.0535,0.05136,0.05271,-0.00648,0.00141,-0.00153,-0.08552,0.08877,0.0,0.0,-0.37029,0.40288,0.0,0.0,-0.13685,0.17617,0.0,0.0,0.70888,-0.38551,0.0,0.0,-0.11052,0.0,0.0,-0.67555,0.22352,0.0,0.0,0.06533,0.0,0.0,0.0,0.0,0.04585,0.01745,0.0,0.0,-0.0535,0.05136,0.05271,-0.00648
24,0.0064,-0.00611,0.26787,-0.26554,0.0,0.0,-0.23239,0.27397,0.0,0.0,1.27403,-1.27214,0.0,0.0,0.11114,-0.89588,0.0,0.0,1.08089,0.0,0.0,-0.12822,2.10037,0.0,0.0,-2.23885,0.0,0.0,0.0,0.0,-0.01528,-0.06495,0.0,0.0,0.40365,-0.38935,0.93991,-1.05956,0.0064,-0.00611,0.26787,-0.26554,0.0,0.0,-0.23239,0.27397,0.0,0.0,1.27403,-1.27214,0.0,0.0,0.11114,-0.89588,0.0,0.0,1.08089,0.0,0.0,-0.12822,2.10037,0.0,0.0,-2.23885,0.0,0.0,0.0,0.0,-0.01528,-0.06495,0.0,0.0,0.40365,-0.38935,0.93991,-1.05956
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40703,-0.4048,0.0,0.0,0.0,0.0,0.0,0.0,-0.73676,0.0,0.0,-0.78179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00763,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40703,-0.4048,0.0,0.0,0.0,0.0,0.0,0.0,-0.73676,0.0,0.0,-0.78179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00763,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.08134,-0.07752,0.0,0.0,0.0,0.0,0.0,0.0,-1.06913,1.05064,0.0,0.0,0.0,1.54272,0.0,0.0,-1.76982,0.0,0.0,0.88654,-0.74111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48394,-0.65615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08134,-0.07752,0.0,0.0,0.0,0.0,0.0,0.0,-1.06913,1.05064,0.0,0.0,0.0,1.54272,0.0,0.0,-1.76982,0.0,0.0,0.88654,-0.74111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48394,-0.65615,0.0,0.0,0.0,0.0
27,-0.00096,0.0012,-0.03453,0.0392,0.0,0.0,-0.31342,0.32264,0.0,0.0,-0.36283,0.37866,0.0,0.0,-0.72023,0.66494,0.0,0.0,-0.1562,0.0,0.0,0.81331,-0.41881,0.0,0.0,0.04733,0.0,0.0,0.0,0.0,-0.02786,-0.06358,0.0,0.0,-0.13843,0.14353,-0.12244,0.03416,-0.00096,0.0012,-0.03453,0.0392,0.0,0.0,-0.31342,0.32264,0.0,0.0,-0.36283,0.37866,0.0,0.0,-0.72023,0.66494,0.0,0.0,-0.1562,0.0,0.0,0.81331,-0.41881,0.0,0.0,0.04733,0.0,0.0,0.0,0.0,-0.02786,-0.06358,0.0,0.0,-0.13843,0.14353,-0.12244,0.03416
28,0.00687,-0.00695,-0.01212,0.01185,0.0,0.0,-0.00785,0.01152,0.0,0.0,-0.00383,0.00556,0.0,0.0,0.03357,-0.01126,0.0,0.0,-0.00289,0.0,0.0,0.05051,-0.11206,0.0,0.0,0.0824,0.0,0.0,0.0,0.0,-0.56327,0.55566,0.0,0.0,-0.53742,0.53549,-1.23049,1.25847,0.00687,-0.00695,-0.01212,0.01185,0.0,0.0,-0.00785,0.01152,0.0,0.0,-0.00383,0.00556,0.0,0.0,0.03357,-0.01126,0.0,0.0,-0.00289,0.0,0.0,0.05051,-0.11206,0.0,0.0,0.0824,0.0,0.0,0.0,0.0,-0.56327,0.55566,0.0,0.0,-0.53742,0.53549,-1.23049,1.25847
29,0.00633,-0.00641,0.01376,-0.01415,0.0,0.0,3e-05,0.00444,0.0,0.0,-0.0152,0.01804,0.0,0.0,-0.00458,0.13222,0.0,0.0,-0.17339,0.0,0.0,-0.1012,0.0271,0.0,0.0,-0.00404,0.0,0.0,0.0,0.0,-0.1162,0.10314,0.0,0.0,0.75101,-0.75048,-1.32595,1.3499,0.00633,-0.00641,0.01376,-0.01415,0.0,0.0,3e-05,0.00444,0.0,0.0,-0.0152,0.01804,0.0,0.0,-0.00458,0.13222,0.0,0.0,-0.17339,0.0,0.0,-0.1012,0.0271,0.0,0.0,-0.00404,0.0,0.0,0.0,0.0,-0.1162,0.10314,0.0,0.0,0.75101,-0.75048,-1.32595,1.3499
30,0.00671,-0.00677,-0.00855,0.00878,0.0,0.0,0.02297,-0.02958,0.0,0.0,-0.00049,-0.00313,0.0,0.0,-0.01212,0.00197,0.0,0.0,-0.01022,0.0,0.0,0.00415,-0.08762,0.0,0.0,0.10178,0.0,0.0,0.0,0.0,0.64662,-0.6552,0.0,0.0,-0.33086,0.3352,-1.25997,1.26499,0.00671,-0.00677,-0.00855,0.00878,0.0,0.0,0.02297,-0.02958,0.0,0.0,-0.00049,-0.00313,0.0,0.0,-0.01212,0.00197,0.0,0.0,-0.01022,0.0,0.0,0.00415,-0.08762,0.0,0.0,0.10178,0.0,0.0,0.0,0.0,0.64662,-0.6552,0.0,0.0,-0.33086,0.3352,-1.25997,1.26499
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70711,-0.70711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70711,-0.70711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01558,0.01739,0.0,0.0,0.0,0.0,0.0,0.0,-0.01241,0.0,0.0,-0.00413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70683,0.70689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01558,0.01739,0.0,0.0,0.0,0.0,0.0,0.0,-0.01241,0.0,0.0,-0.00413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70683,0.70689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,-0.02406,0.02438,0.0,0.0,0.0,0.0,0.0,0.0,0.00696,-0.01101,0.0,0.0,0.0,0.07025,0.0,0.0,-0.09872,0.0,0.0,-0.11817,0.12433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76336,0.76487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02406,0.02438,0.0,0.0,0.0,0.0,0.0,0.0,0.00696,-0.01101,0.0,0.0,0.0,0.07025,0.0,0.0,-0.09872,0.0,0.0,-0.11817,0.12433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76336,0.76487,0.0,0.0,0.0,0.0
34,0.00049,-0.00048,0.12906,-0.13038,-0.18123,0.18261,0.05766,-0.05237,0.0,0.0,-0.0852,0.09099,-0.00823,-0.00266,-0.09471,0.37184,0.0,0.25735,-0.42456,0.0,-0.2912,-0.34592,0.39211,-0.55367,0.57217,-0.29102,0.0,0.0,0.0,0.0,0.00527,-0.00396,0.40407,-0.42288,-0.44752,0.44839,0.1595,-0.16053,0.00049,-0.00048,0.12906,-0.13038,-0.18123,0.18261,0.05766,-0.05237,0.0,0.0,-0.0852,0.09099,-0.00823,-0.00266,-0.09471,0.37184,0.0,0.25735,-0.42456,0.0,-0.2912,-0.34592,0.39211,-0.55367,0.57217,-0.29102,0.0,0.0,0.0,0.0,0.00527,-0.00396,0.40407,-0.42288,-0.44752,0.44839,0.1595,-0.16053
35,-0.00165,0.00162,0.05057,-0.05029,-0.15915,0.16127,0.06351,-0.09005,0.0,0.0,-0.92081,0.9205,-1.24308,1.24645,-0.04369,0.03398,0.0,0.62745,0.03456,0.0,-0.77002,0.48405,-0.99114,0.96846,-0.89885,0.87993,0.0,0.0,0.0,0.0,-0.00219,0.00734,0.11926,-0.20945,0.02209,-0.02673,-0.30509,0.31897,-0.00165,0.00162,0.05057,-0.05029,-0.15915,0.16127,0.06351,-0.09005,0.0,0.0,-0.92081,0.9205,-1.24308,1.24645,-0.04369,0.03398,0.0,0.62745,0.03456,0.0,-0.77002,0.48405,-0.99114,0.96846,-0.89885,0.87993,0.0,0.0,0.0,0.0,-0.00219,0.00734,0.11926,-0.20945,0.02209,-0.02673,-0.30509,0.31897
36,0.00049,-0.00048,0.12906,-0.13038,0.18123,-0.18261,0.05766,-0.05237,0.0,0.0,-0.0852,0.09099,0.00823,0.00266,-0.09471,0.37184,0.0,-0.25735,-0.42456,0.0,0.2912,-0.34592,0.39211,0.55367,-0.57217,-0.29102,0.0,0.0,0.0,0.0,0.00527,-0.00396,-0.40407,0.42288,-0.44752,0.44839,0.1595,-0.16053,0.00049,-0.00048,0.12906,-0.13038,0.18123,-0.18261,0.05766,-0.05237,0.0,0.0,-0.0852,0.09099,0.00823,0.00266,-0.09471,0.37184,0.0,-0.25735,-0.42456,0.0,0.2912,-0.34592,0.39211,0.55367,-0.57217,-0.29102,0.0,0.0,0.0,0.0,0.00527,-0.00396,-0.40407,0.42288,-0.44752,0.44839,0.1595,-0.16053
37,-0.00165,0.00162,0.05057,-0.05029,0.15915,-0.16127,0.06351,-0.09005,0.0,0.0,-0.92081,0.9205,1.24308,-1.24645,-0.04369,0.03398,0.0,-0.62745,0.03456,0.0,0.77002,0.48405,-0.99114,-0.96846,0.89885,0.87993,0.0,0.0,0.0,0.0,-0.00219,0.00734,-0.11926,0.20945,0.02209,-0.02673,-0.30509,0.31897,-0.00165,0.00162,0.05057,-0.05029,0.15915,-0.16127,0.06351,-0.09005,0.0,0.0,-0.92081,0.9205,1.24308,-1.24645,-0.04369,0.03398,0.0,-0.62745,0.03456,0.0,0.77002,0.48405,-0.99114,-0.96846,0.89885,0.87993,0.0,0.0,0.0,0.0,-0.00219,0.00734,-0.11926,0.20945,0.02209,-0.02673,-0.30509,0.31897
